Block_Size,Random_Percentage,Read_Percentage,Queue_Depth,Run_Time(ss:mm:hh:dd),Number_of_Jobs,Offset
bssplit=512/10:1k/8:2k/8:4k/15:8k/12:16k/12:32k/10:64k/10:128k/8:256k/4:512k/2:1m/1,100,50,64,60,24,0
4k,100,100,64,25,24,0
4k,100,0,64,25,24,0
1m,0,100,32,25,6,0
1m,0,0,32,25,6,0
End,,,,,,
